"Second","Think_Tokens","Regular_Tokens","Total_Tokens"
"0","0","8","8"
"1","0","23","23"
"2","0","23","23"
"3","0","23","23"
"4","0","23","23"
"5","0","23","23"
"6","0","21","21"
"7","0","21","21"
"8","0","22","22"
"9","0","22","22"
"10","0","23","23"
"11","0","24","24"
"12","0","24","24"
"13","0","24","24"
"14","0","23","23"
"15","0","23","23"
"16","0","22","22"
"17","0","24","24"
"18","0","22","22"
"19","0","22","22"
"20","0","22","22"
"21","0","23","23"
"22","0","23","23"
"23","0","22","22"
"24","0","24","24"
"25","0","23","23"
"26","0","22","22"
"27","0","23","23"
"28","0","22","22"
"29","0","22","22"
"30","0","24","24"
